,tweet
0,There are a hateful people. What kind of humans are this hateful and cruel? #IsraeliCrimes #ApartheidIsrael #FreePalestine #PalestinianLivesMatter #Palestine #PalestineExists https://t.co/R0rXkL5ipq
1,"Real face of #IsraeliOccupation in #Jerusalem 
#Palestine https://t.co/OAqIeBMezU"
2,"🚨 BREAKING: Israel's Colonisation of Palestinian Land and Skyline in East Jerusalem.

1. Israel's High Court unanimously upheld the government's plan to construct a cable car that runs through occupied East Jerusalem, including Silwan and the Old City. 🧵

#EndIsraeliApartheid https://t.co/qOmYcYfFT6"
3,Wow! #Israeli occupation forces have arrested Omar Abu Khdeir. He was the pallbearer who held the coffin with one hand and had his other hand on his head to protect it while the Israeli security beat him with their batons. #EndIsraeliApartheid #IsraeliCrimes #IsraeliOccupation https://t.co/PkutKpF0cp
4,"@OnlinePalEng All your gov is doing is simply watching in silence . 
#SantionIsrael
#BoycottIsrael"
5,@AJEnglish What new lie will #ApartheidIsrael tell today to cover this?
6,"This what happens to Palestinians who participate in funeral processions under #Israeli_occupation in #Jerusalem!

#IsraeliCrimes https://t.co/4YMzAmXK5h"
7,"The level of evil to shoot mourners in a funeral yall..  It’s monstrous.

#Israel 
#ApartheidIsrael https://t.co/kOSlLQ0pFS"
8,"Reported by a @haaretzcom journalist ""I took a taxi from my house to the train station. The driver says: 

""all these Arabs are trash ... they need to be thrown in the sea""
...
Welcome to the enlightened State of Israel""

 @haaretz #הארץ21 #هآرتس21 #EndIsraeliApartheid https://t.co/19NK7ls5xa"
9,"No. This is what they want us to believe. People fight because gangster evil politicians divide in order to rule. For example, in Palestine, so called #Israel was planted there by the West to do exactly what he is mentioning. #IsraeliCrimes https://t.co/85QrcDAUwa"
10,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
11,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
12,"Can't even select location for Palestine 

#PALESTINE 
#IsraeliCrimes 
#Shireen_Abu_Akleh 
#IsraeliTerrorists 

@elonmusk 
@mehdirhasan 
@Twitter https://t.co/hSKteKuKSe"
13,"https://t.co/SPKLy3VpQ8 Bennett to IOF terrorists:use excessive force against #Palestinian wherever they are 
#EndIsraeliOccupation 
#EndIsraelImpunity 
#IsraeliCrimes 
#Silenceiscomplicity 
#PalestineWillBeFree"
14,"This.

#IsraeliApartheid #israelapartheidstate 
#IsraeliCrimes 
#ApartheidIsrael #Apartheid https://t.co/Eiu8Uqlxmy"
15,"14. For more, visit the @AdvocacyJlac website:

#EndIsraeliApartheid 

https://t.co/N0zYBQOe2w"
16,"Your opinion??? 
Any doubts YET  that IOF are devoid of humanity? @_ZachFoster

@BadawiLeila @LiuWendland
@BentBladi0
@ArielElyseGold
@joesoap435
@SDGMasterglass
@aboutpalestine1
#IsraeliCrimes
https://t.co/CWtJFITlja"
17,"🚨 BREAKING: Israel's Colonisation of Palestinian Land and Skyline in East Jerusalem.

1. Israel's High Court unanimously upheld the government's plan to construct a cable car that runs through occupied East Jerusalem, including Silwan and the Old City. 🧵

#EndIsraeliApartheid https://t.co/qOmYcYfFT6"
18,"Another day in Palestine, another funeral for a Palestinian assassinated by #Israel, another vicious attack by #IsraeliOccupation forces on the victim’s funeral procession, this time of slain Walid al-Sharif in #Jerusalem, 37 #Palestinians injured. #ApartheidIsrael #FreePalestine"
19,"Why is #Capetonians allowing @Our_DA Premier Alan Winde @geordinhl to act with impunity similar what  #ApartheidIsrael is doing to #Palestine  people. The call to pray (Athaan) and ringing of church bells is part of our culture of respect and tolerance.

#Islam #Palestine https://t.co/7zXHEtoGzG"
20,"Celebrities, you don't have to stand on the sidelines, waiting for Israel to #GrowAConscience and stop violating #HumanRights, you can join millions around the globe who already #boycottIsrael!

@Nlechoppa1 @maluma @andrerieu @OfficialPL @CigsAfterSexx @rexthedog1980
@RKJVK069"
