,tweet
29,#Shireen_Abu_Aqleh  it breaks my heart ❤️💜  #Israel  #IsraeliCrimes  #Jews  star of David can not help them https://t.co/c2orkOyfsK
30,"We fixed it for you, @nytimes. Careful, your bias is showing.

Palestinian-American #ShireenAbuAkleh was killed by #Israeli occupying forces the same way hundreds of Palestinians are every year. We need justice for Shireen and every #Palestinian. 

#ShireenAbuAqla #IsraeliCrimes https://t.co/nOUSQXJ3DA"
31,"@MuhammadSmiry RIP Shireen

A very sad day for her love ones &amp; honest and great journalists around the world 

 @AlJazeera #Shereen_Abu_Aqleh #FreePalestine #IsraeliCrimes https://t.co/3AswYiHZI5"
32,"If this was a Ukrainian journalist would the west be as quiet as it is now?! 

Why do Palestinians not matter?! 

#IsraeliCrimes #JusticeForShireenAbuAqla https://t.co/41YnW184HI"
33,#Shireen_Abu_Aqleh  it breaks my heart ❤️💜  #Israel  #IsraeliCrimes  #Jews  star of David can not help them https://t.co/c2orkOyfsK
34,Palestinian journalist #ShireenAbuAkleh was killed / executed in cold blood by #IsraeliOccupation forces today. Will Cdn media cover this crime? Will they speak out against the targeting of #Palestinian journalists by #ApartheidIsrael? #canlab #cdnmedia https://t.co/xGZEAWOqxb
35,"If u don’t know what #Israel is:
See the latest but not last crime they committed. They are :
Murderers 
Terrorists
Rapists  
Racists
And their army is the best fed and best trained terrorist organization in the world.
#IsraeliTerrorism  #IsraeliCrimes https://t.co/NFnRKKJxca"
36,"Please support and share the International Definition
of Racism Against #Palestinians!
Everyone can and should sign and share the 
#UN2oPts petition! 
UN Protection Force to #Palestine!
Go here:  https://t.co/3SnhAlJNm2
#UN2oPts #BDS #STOPIsraeliAggression https://t.co/WtLM3ZuxKP"
37,"Today Palestinian press icon was killed by the israeli terrorist army. Cherin was murdered with cold blood.Stop hypocrisy, humanity must End this Cancer called israel.
Rest in peace, you will never be forgotten.
#EndIsraeliApartheid
#FreePalestine
#Shereen_Abu_Aqleh https://t.co/wumCkQZIXP"
38,"Don’t shoot the messenger…unless you’re an Israeli soldier, then it’s apparently ok. 
#IsraeliApartheid 
#IsraeliCrimes https://t.co/Cf0BkqNbbL"
39,"According the Hebrew media || 
Israeli army investigation: Shirin Abu Aqleh was 150 meters away when she was targeted, and Dovdovan unit fired dozens of bullets.

#IsraeliCrimes
#ShireenAbuAqleh https://t.co/J7LuhY20eg"
40,"@JohnSimpsonNews @AlJazeera She was murdered in cool calculated blood. No it's, no buts. The #ApartheidIsrael minions lie hour after hour and West remains silent. Shame on all our leaders."
41,"Israeli occupation forces shot dead Palestinian #journalist and #Al_Jazeera correspondent #Shireen_abu_Akleh during invasion of #Jenin.

#IsraeliCrimes
#West_Bank https://t.co/vAUgflNEfi"
42,"Israeli occupation forces shot dead Palestinian #journalist and #Al_Jazeera correspondent #Shireen_abu_Akleh during invasion of #Jenin.

#IsraeliCrimes
#West_Bank https://t.co/vAUgflNEfi"
43,"They shoot journalists, don't they?

They also shoot occupied, unarmed protestors

The reality : It's a sport for Israel’s snipers #WarCrimes

I kept the casing of every round I fired,”.. I know: 52 definite hits.”

#WarCrimes #ICC
#BDS 

https://t.co/r1CeuusQN7"
44,@Reuters Sit down former Nazi regime. You are in the worst possible position to lecture us on the consequences of war especially now that you have decided to arm neonazis and shield #apartheidisrael. Never again was indeed a joke on us all to have trusted you all these years. https://t.co/O0gNRtMYf5
45,"We fixed it for you, @nytimes. Careful, your bias is showing.

Palestinian-American #ShireenAbuAkleh was killed by #Israeli occupying forces the same way hundreds of Palestinians are every year. We need justice for Shireen and every #Palestinian. 

#ShireenAbuAqla #IsraeliCrimes https://t.co/nOUSQXJ3DA"
46,"""It is not easy, perhaps, to change the reality...but at least I was able to convey that voice.. I am Shireen Abu Aqleh""

Rest in eternal peace Shireen!

 Your voice will keep hunting the Israeli occupation for good.

#ShireenAbuAqla #IsraeliTerrorism https://t.co/VEbeufNuvy"
47,"The martyr journalist Sherine Abu Aqleh,She was the sound of truth, justice and patriotism. 
God rest her soul 💔💔
#IsraeliCrimes
#Shereen_Abu_Aqleh
#Palestine 
#ShireenAbuAqla https://t.co/B2pr4Mcc6j"
48,"Palestine UN ambassador says his country will 'not accept' an investigation by Israel into the killing of Al Jazeera’s Shireen Abu Akleh, and that he holds the Israeli occupation forces responsible for the 'assassination' of the veteran journalist. #IsraeliCrimes"
49,RIP Shireen. Please share. https://t.co/ZBGIAy6sUa #FreePalestine #PSCThailand #bds #gaza #PalestineWillBeFree #SaveSheikhJarrah #boycottisraeligoods #apartheidisrael #Shireen
50,"It doesn’t matter if you are muslim or christian, Arab or American, Israel is a terrorist organization orchestrated on the belief of Anti-Palestine and man slaughter 
#ApartheidIsrael #IsraeliCrimes #شيرين_ابو_عاقلة https://t.co/vuAInKWa9L"
51,@Sarah_Hassan94 Israel has intentionally murdered dozens of journalists over the years.  The Zionist entity must shoot the messenger. #IsraeliCrimes #IsraeliTerrorism #FreePalestine from the river to the sea.
52,"We fixed it for you, @nytimes. Careful, your bias is showing.

Palestinian-American #ShireenAbuAkleh was killed by #Israeli occupying forces the same way hundreds of Palestinians are every year. We need justice for Shireen and every #Palestinian. 

#ShireenAbuAqla #IsraeliCrimes https://t.co/nOUSQXJ3DA"
53,#Shireen_Abu_Aqleh  it breaks my heart ❤️💜  #Israel  #IsraeliCrimes  #Jews  star of David can not help them https://t.co/c2orkOyfsK
54,"Israeli users have been spreading lies about #SherineAbuAqleh killing earlier this morning. Here is the truth👇🏼👇🏼👇🏼
#شيرين_أبوعاقلة #israelicrimes https://t.co/Ba3X8YLBnc"
55,"“The killing of veteran journalist Shirin Abu Akleh is a bloody reminder of the deadly system in which Israel locks Palestinians. Israel is killing Palestinians left and right with impunity.”- @amnesty @S_jazi
#EndIsraeliApartheid 
https://t.co/HMfTA636K0 https://t.co/dljDoAiAgx"
56,"Palestine UN ambassador says his country will 'not accept' an investigation by Israel into the killing of Al Jazeera’s Shireen Abu Akleh, and that he holds the Israeli occupation forces responsible for the 'assassination' of the veteran journalist. #IsraeliCrimes"
57,#ApartheidIsrael must fall https://t.co/AJFhk2kUzP
58,"The first moment when the Palestinian journalist and correspondent of Al Jazeera channel Sherin Abu Aqla got killed by the Israeli occupation forces in Jenin this morning.
#IsraeliCrimes https://t.co/NVwaBAGvqS"
59,"These fucking Zionists have no shame.
#IsraeliTerrorism #FreePalaestine
#ShireenAbuAkleh https://t.co/gt8JYzvNFe"
60,This is the reality of Israeli occupation! And anyone deny it not a human #IsraeliCrimes #IsraeliApartheid #Israel #Palestine #Sheerin_Abu_Aqla #شيرين_ابو_عاقلة https://t.co/skQqZdA5Ii
61,"Don’t shoot the messenger…unless you’re an Israeli soldier, then it’s apparently ok. 
#IsraeliApartheid 
#IsraeliCrimes https://t.co/Cf0BkqNbbL"
62,"#IsraeliCrimes 
Israeli forces kill Al Jazeera reporter #ShireenAbuAkleh 
#Shereen_Abu_Aqleh 
#ShireenAbuAkleh 
#ShereenAbuAkleh https://t.co/CieySdmsWH"
63,"We fixed it for you, @nytimes. Careful, your bias is showing.

Palestinian-American #ShireenAbuAkleh was killed by #Israeli occupying forces the same way hundreds of Palestinians are every year. We need justice for Shireen and every #Palestinian. 

#ShireenAbuAqla #IsraeliCrimes https://t.co/nOUSQXJ3DA"
64,"Time has come to shout together against the #IsraeliOccupation #IsraeliWarCrimes #IsraeliApartheid and demand a #FreePalestine 
Because
#PalestiniansLivesMatter 
""OUR FREEDOM IS INCOMPLETE WITHOUT THE FREEDOM OF THE PALESTINIANS""
[Nelson Mandela]

#UnitedNations 
#ShireenAbuAqla https://t.co/CtT5cbgmrM"
65,"We fixed it for you, @nytimes. Careful, your bias is showing.

Palestinian-American #ShireenAbuAkleh was killed by #Israeli occupying forces the same way hundreds of Palestinians are every year. We need justice for Shireen and every #Palestinian. 

#ShireenAbuAqla #IsraeliCrimes https://t.co/nOUSQXJ3DA"
66,"Palestinian journalist Shirin Abu Akleh was shot dead today.

‘How many more [Palestinians] need to be killed before the international community [holds] Israel accountable for the continuing crimes against humanity?’ - Saleh Higazi

#EndIsraeliApartheid✊

https://t.co/tr2XkfiDFV"
67,It’s time to dismantle the Zionist “state” #FreePalestine #IsraeliTerrorism #BDS #ApartheidIsrael
68,"Watch | Israeli occupation forces tear up a poster of Al Jazeera's slain reporter Shireen Abu Aqleh and confiscate the flag of Palestine during a rally to honor her in occupied Jerusalem. 
#ShireenAbuAkleh 
#ShireenAbuAqla #EndIsraeliApartheid https://t.co/Ko9VcqV9Yc"
69,"They killed her in cold blood, then shamelessly attacking people who solidarity with her in her neighborhood.  How cruel it is for her family to see those who killed their daughter in front of their house walking freely and assaulting people.
#IsraeliTerrorism #FreePalaestine https://t.co/I9GDDu46IJ"
70,"The people of this planet, all flawed, have the Moral Authority to DEMAND that putin immediately STOP his CURRENT DAILY SLAUGHTER of the Ukrainian _civilians_ he's targeting+slaughtering by the thousands. #BDS USA tried/pretended (depending, military or merc?) to target military. https://t.co/ZjQFkytUD5"
71,"Zionist terrorists feed on the blood of innocent people of #Palestine.

#ShireenAbuAkleh 
#IsraeliCrimes #IsraelTerrorism 

Keep it up @_AhmedQuraishi 
Shame on you @sharakango 

#PalestineWiBeFree"
72,"Israeli users have been spreading lies about #SherineAbuAqleh killing earlier this morning. Here is the truth👇🏼👇🏼👇🏼
#شيرين_أبوعاقلة #israelicrimes https://t.co/Ba3X8YLBnc"
73,"A Palestinian father from the village of Burin in the occupied West Bank named his daughter 'Shireen' honoring the Al Jazeera reporter, Shireen Abu Akleh, who was shot dead by Israeli occupation forces in Jenin today.

#ShireenAbuAqla 
#IsraeliCrimes https://t.co/AS6NUzu3up"
74,"Zionist terrorists feed on the blood of innocent people of #Palestine.

#ShireenAbuAkleh 
#IsraeliCrimes #IsraelTerrorism 

Keep it up @_AhmedQuraishi 
Shame on you @sharakango 

#PalestineWiBeFree"
75,"This photo is related to the moment #ShireenAbuAqla was hit. How is such a thing possible in today's world? What is our reaction in America? In US newspapers, #Palestinians are only allowed to die in the passive tense.
#Israel #Palestine #IsraeliCrimes https://t.co/c3GSnhOc2Y"
76,"This photo is related to the moment #ShireenAbuAqla was hit. How is such a thing possible in today's world? What is our reaction in America? In US newspapers, #Palestinians are only allowed to die in the passive tense.
#Israel #Palestine #IsraeliCrimes https://t.co/c3GSnhOc2Y"
77,"Zionist terrorists feed on the blood of innocent people of #Palestine.

#ShireenAbuAkleh 
#IsraeliCrimes #IsraelTerrorism 

Keep it up @_AhmedQuraishi 
Shame on you @sharakango 

#PalestineWiBeFree"
78,End Israel's apartheid. #ApartheidIsrael #IsraeliCrimes #Israel https://t.co/dC9xnISNPd
79,"I just curried organic mushrooms with garlic &amp; steamed organic spinach &amp; broccoli &amp; put it on a bed of pasta made from quinoa &amp; rice; I sprinkled some za'atar on the mushrooms to honor #ShireenAbuAkleh who was murdered by #ApartheidIsrael for doing her job
https://t.co/xZ1BKwydk8 https://t.co/BJse23YDdf"
80,"Journalist Shireen Abu Akleh was killed while covering an Israeli raid on a Palestinian refugee camp. Her death MUST be investigated as a possible war crime.

The recent escalation of violence highlights the urgent need to #EndIsraeliApartheid 
https://t.co/kaPkJG3sfw"
81,"@DavidmeSommer @amnesty The Apartheid, Journalist killing Israeli regime....

Did I not make myself clear enough by this👇🏾.

End Israel’s apartheid.
End Israel’s apartheid.
End Israel’s apartheid.
End Israel’s apartheid.
End Israel’s apartheid.
End Israel’s apartheid.
#EndIsraeliApartheid https://t.co/C0seDra1xC"
82,"Zionist terrorists feed on the blood of innocent people of #Palestine.

#ShireenAbuAkleh 
#IsraeliCrimes #IsraelTerrorism 

Keep it up @_AhmedQuraishi 
Shame on you @sharakango 

#PalestineWiBeFree"
83,"If such a thing happened to a #journalist in #Ukraine, the American media would make hundreds of documentaries out of it. What is the origin of this double standard? Does human rights accept a double standard? So why no one talks about human rights?
#ShireenAbuAqla #IsraeliCrimes https://t.co/1wic0Pv6P4"
84,"#IsraeliCrimes had become a routine thing. The white western doesn’t care if all Palestinians get killed in one day. Maybe they wish for that.
#IsraeliTerrorism https://t.co/LRQzEMeG1s"
85,"#RIP Shireen Abu Akleh @AlJazeera Shot for telling truth about #Israel terrorism in #Palestine -&gt; #IsraeliCrimes 

Shocking &amp; shameful  #Newsnight  #Peston #skynews
https://t.co/oMxAa0FlA3"
86,The #USA is complicit in the murder of Shireen Abu Akleh: stop financing crimes against humanity  #FreePalestine #Palestine #PalestinaLibre #EndIsraeliApartheid #who #IsraeliCrimes https://t.co/4OBxMFwFSr
87,"Israeli occupation forces shot dead Palestinian #journalist and #Al_Jazeera correspondent #Shireen_abu_Akleh during invasion of #Jenin.

#IsraeliCrimes
#West_Bank https://t.co/vAUgflNEfi"
88,@IDF Liars. Murderers. Thieves. Nothing else to say but that. #FreePalestine #IsraeliCrimes #ShireenAbuAkleh
89,BREAKING NEWS: Veteran Al Jazeera journalist Shireen Abu Aqleh was shot dead by Israeli troops on Wednesday as she covered a raid on Jenin refugee camp. https://t.co/2UXtZtHBDd #FreePalestine #PSCThailand #bds #gaza #PalestineWillBeFree #SaveSheikhJarrah #boycottisraeligoods
90,"I am waiting for the outcry against Israhell for killing a female journalist doing her job. She was wearing a helmet marked ‘press.’ Come on, change your profile pic and banners to support Palestine! #IsraeliCrimes"
91,"Don’t shoot the messenger…unless you’re an Israeli soldier, then it’s apparently ok. 
#IsraeliApartheid 
#IsraeliCrimes https://t.co/Cf0BkqNbbL"
92,"@RashidaTlaib @POTUS 'Defending'#ApartheidIsrael in official US language is, murdering,bombing,evicting,terrorising &amp; ethnically cleansing Palestinians. #USA's sordid h/o genocide of indigenous tribes,brutal slave trade &amp; as a top sponsor of global terror make it ineligible as a civilised
arbiter."
93,"We fixed it for you, @nytimes. Careful, your bias is showing.

Palestinian-American #ShireenAbuAkleh was killed by #Israeli occupying forces the same way hundreds of Palestinians are every year. We need justice for Shireen and every #Palestinian. 

#ShireenAbuAqla #IsraeliCrimes https://t.co/nOUSQXJ3DA"
94,How quickly some have forgotten: Israel’s bombing of the AP building last year; Israel’s beating of Al Jazeera journalist Givara Budeiri; Israel’s numerous threats to close down the AJ. Israel doesn’t care for journalists; it cares to cover up Israeli crimes. #IsraeliCrimes
95,"@ZiyandaNgcobo My heart was broken, how do this evil #israelites sleep? May the soul of @shireenAbuAkleh rest in peace @AlJazeera. #IsraeliCrimes"
96,Remember the reporter’s name #ShireenAbuAkleh ! #IsraeliCrimes #IsraelTerrorism https://t.co/VLLGO9qlcQ
97,"The moment #ShireenAbuAqla 🇵🇸was assassinated earlier today in cold blood at the hands of Israeli occupation forces.
We want justice.

#شيرين_ابو_عاقلة 
#Palestine 
#EndIsraeliApartheid #EndIsraeliOccupation https://t.co/uKOcA4FAyH"
98,"Israel Murders Journalists.

Pass It On.

#ShireenAbuAkleh
#IsraeliCrimes
#Stand4AlQudas
#FreePalestine🇵🇸 https://t.co/m8Z3dTMGUm"
99,"Bloodthirsty, vicious inhuman #IsraeliOccupation forces. Stop #IsraeliCrimes. https://t.co/AXojuZa1qc"
100,"@LiorHaiat @IsraelMFA Shame on all democratics you said. More than 50 journalists were killed by #Israel since 2000, It si horrible indications that  what we see on media is 1% of #IsraeliCrimes as journalists scared to record the whole truth. #HumanRights wake up!"
101,It's vital to share this &amp; let the world fully grasp: the israeli occupiers are the terrorists; the Palestinians are their victims #IsraeliTerrorism https://t.co/QXBLBrr99U
102,#JusticeforShareenAbuAkleh #Palestine #IsraeliCrimes #Congress YOU are responsible for this. https://t.co/ABGRvALAsK
103,“I chose journalism to be close to people. It might not be easy to change the reality but at least I could bring their voice to the world. I am Shireen Abu Akleh”. That sign off will forever be iconic. Rest in power and peace Shireen. #Palestine #Shereen_Abu_Aqleh #IsraeliCrimes https://t.co/8xyh45EZkr
104,"@StateDeptSpox IT WAS AN ASSASSINATION ‼️

#BDS"
105,"This photo is related to the moment #ShireenAbuAqla was hit. How is such a thing possible in today's world? What is our reaction in America? In US newspapers, #Palestinians are only allowed to die in the passive tense.
#Israel #Palestine #IsraeliCrimes https://t.co/c3GSnhOc2Y"
106,"Israeli users have been spreading lies about #SherineAbuAqleh killing earlier this morning. Here is the truth👇🏼👇🏼👇🏼
#شيرين_أبوعاقلة #israelicrimes https://t.co/Ba3X8YLBnc"
107,"Footage documenting first moments when Shireen Abu Aqleh was shot dead by an Israeli sniper and shows locations in which Palestinian gunman depicted in a video distributed by IOF as well as location where she was killed.
#ShireenAbuAkleh 
#ShireenAbuAqla #EndIsraeliApartheid https://t.co/h9SNdmeQkO"
108,"Tweets by staff at""Creative Community for Peace"", LA group that cynically claims its ""apolitical"" &amp; ""building bridges.""

@CCFPeace is just an entertainment industry arm of right-wing StandWithUs. They aim to shield Israel from criticism for oppressing Palestinians and fight #BDS. https://t.co/GWryk80me9"
109,@DavideMastracci #ApartheidIsrael is one term I use.
110,@MiddleEastEye Systematic #IsraeliCrimes and #IsraeliApartheid  proven by their own. https://t.co/LN2JyjQM5P
111,"We fixed it for you, @nytimes. Careful, your bias is showing.

Palestinian-American #ShireenAbuAkleh was killed by #Israeli occupying forces the same way hundreds of Palestinians are every year. We need justice for Shireen and every #Palestinian. 

#ShireenAbuAqla #IsraeliCrimes https://t.co/nOUSQXJ3DA"
112,"This photo is related to the moment #ShireenAbuAqla was hit. How is such a thing possible in today's world? What is our reaction in America? In US newspapers, #Palestinians are only allowed to die in the passive tense.
#Israel #Palestine #IsraeliCrimes https://t.co/c3GSnhOc2Y"
113,"Creative Community for Peace/StandWithUs aims to shield Israel from criticism, deny Palestinians rights &amp; fight #BDS.

So tweets denying Israel's responsibility for killing reporter Shireen Abu Aqleh and blaming Palestinians are no surprise.

More here ⬇️ https://t.co/bBmdWWYh1L"
114,"Israeli occupation forces assassinated journalist Shireen Abu Akleh In Jenin this morning

#FreePalestine
#IsraeliCrimes
#Shereen_Abu_Aqleh https://t.co/1zvezoWbjX"
115,"Israeli users have been spreading lies about #SherineAbuAqleh killing earlier this morning. Here is the truth👇🏼👇🏼👇🏼
#شيرين_أبوعاقلة #israelicrimes https://t.co/Ba3X8YLBnc"
116,"Israel is notorious for its treatment of the press and journalists. They've always harassed them, beat them, and tried their best to prevent them from spreading the truth and the atrocities that the Palestinians have to live with! #ShireenAbuAkleh #Palestine #ApartheidIsrael https://t.co/VEspk1aLdK"
117,"""It is not easy, perhaps, to change the reality...but at least I was able to convey that voice.. I am Shireen Abu Aqleh""

Rest in eternal peace Shireen!

 Your voice will keep hunting the Israeli occupation for good.

#ShireenAbuAqla #IsraeliTerrorism https://t.co/VEbeufNuvy"
118,@RepRashida thank you but it’s NOT ENOUGH‼️ #BDS✊🏻🔥🇵🇸🍉🗝🪓 #EndAid2IsraHell🔥🇮🇱💀 #Congress needs to CONDEMN this #ZioNazi👹 crime ASAP‼️ https://t.co/ICKjEr5q1s
119,"@USAmbIsrael @AJArabic @AJEnglish They shoot journalists, don't they?

They also shoot occupied, unarmed protestors

The reality : It's a sport for Israel’s snipers #WarCrimes  

I kept the casing of every round I fired,”.. I know: 52 definite hits.”

#WarCrimes #ICC
#BDS #ApartheidIsrael

https://t.co/r1CeuusQN7"
120,"11-05-2022
#Palestine | video documenting the moment journalist #ShireenAbuAqleh 
was hit by an Israeli sniper's bullet, according to eyewitnesses, to the head in the unprotected area under the ear, among unarmed civilians in Jenin camp this morning.
#IsraeliCrimes https://t.co/USVx4rvb36"
121,"the apartheid israel supporter has logged in to discuss democracy with a straight face, like we're a bunch of fucking fools.
#BDS https://t.co/glgU95IFZi"
122,"@kobysnews @SusanSarandon Wow are you a Nazi apologist? 
#ShireenAbuAkleh assassination will be avenged. 
Judeonazis 👇🏻 #ApartheidIsrael https://t.co/7xRcmA0B3j"
123,It is WELL KNOWN that #Israel DOES NOT like or allow independent media coverage of their brazen atrocities in #Palestine. It is also WELL KNOWN that the hypocritical Western Press and righteous Christian Nations have FAILED miserably in TRUTH TELLING on the rogue #ApartheidIsrael https://t.co/sYscFxdu1P
124,"Can anyone cite just one article, from a Murdoch publication, condemning Israel's murder of veteran journalist Shireen Abu Akleh? #IsraeliCrimes #FreePalestine #IsraeliTerrorism #auspol https://t.co/F92LbN3vuU"
125,Killed by Israeli... #IsraeliCrimes https://t.co/kczeRqUsHV
126,"Can anyone cite just one article, from a Murdoch publication, condemning Israel's murder of veteran journalist Shireen Abu Akleh? #IsraeliCrimes #FreePalestine #IsraeliTerrorism #auspol https://t.co/F92LbN3vuU"
127,"Israel Murders Journalists.

Pass It On.

#ShireenAbuAkleh
#IsraeliCrimes
#Stand4AlQudas
#FreePalestine🇵🇸 https://t.co/m8Z3dTMGUm"
128,"We fixed it for you, @nytimes. Careful, your bias is showing.

Palestinian-American #ShireenAbuAkleh was killed by #Israeli occupying forces the same way hundreds of Palestinians are every year. We need justice for Shireen and every #Palestinian. 

#ShireenAbuAqla #IsraeliCrimes https://t.co/nOUSQXJ3DA"
129,"The first moment when the Palestinian journalist and correspondent of Al Jazeera channel Sherin Abu Aqla got killed by the Israeli occupation forces in Jenin this morning.
#IsraeliCrimes https://t.co/NVwaBAGvqS"
130,"Can anyone cite just one article, from a Murdoch publication, condemning Israel's murder of veteran journalist Shireen Abu Akleh? #IsraeliCrimes #FreePalestine #IsraeliTerrorism #auspol https://t.co/F92LbN3vuU"
