,tweet
0,@saritm0 @btselem @IsraelMFA It's noted it was wrong subtitles too. The only purpose of their video is to create muddy water ans confusion around their crimes. #ApartheidIsrael has used this tactic when they bombed AP Office in Gaza a year earlier. 50 Palestinian journalists were killed by #IOF since 2000.
1,@StateDeptSpox @MalcolmNance Israel is an apartheid state and the United States should stop a financial support ASAP! #Israel #IsraeliApartheid #IsraeliCrimes
2,But the world won’t investigate if you did it #FreePalestine #ApartheidIsrael https://t.co/8ZNhRv3BQw
3,"Watch💔

Tamer Al-Mishal mourns in tears for his colleague #ShireenAbuAkleh, who was martyred after being shot by the occupation regime.😭

#Palestinian
#IsraeliCrimes https://t.co/M1enjdhYHp"
4,The #USA couldn't give two shits if the latest 'persons-they-call-the-enemy-this-week' get slaughtered. They've been doing this for 250 years. Good to know their reign of terror will be over soon. #ApartheidIsrael #Palestine #CapitalismIsDead #bbcaq #bbcqt https://t.co/W1o4PPyJfD
5,"Watch💔

Tamer Al-Mishal mourns in tears for his colleague #ShireenAbuAkleh, who was martyred after being shot by the occupation regime.😭

#Palestinian
#IsraeliCrimes https://t.co/M1enjdhYHp"
6,This is the reality of Israeli occupation! And anyone deny it not a human #IsraeliCrimes #IsraeliApartheid #Israel #Palestine #Sheerin_Abu_Aqla #شيرين_ابو_عاقلة https://t.co/skQqZdA5Ii
7,"❌ BOYCOTT ISRAEL❌

The US gov hands over $38 Billion US Tax Dollars to Zionist Israel your tax dollars hard at work killing innocent Palestinians 
like journalists Shireen Abu Akleh 

#ShireenAbuAkleh #Israel #BoycottIsrael #ApartheidIsrael #Palestine https://t.co/GNmWKFEVzQ"
8,"#FreePalaestine 
#EndIsraeliApartheid 
#MuslimGenocide 
#MuslimLivesMatter
Stop #IsraelTerrorism
#AlAqsaUnderAttack 
#SaveAlAqsaMosque https://t.co/PYpr2UNKQx"
9,"❌ BOYCOTT ISRAEL❌

The US gov hands over $38 Billion US Tax Dollars to Zionist Israel your tax dollars hard at work killing innocent Palestinians 
like journalists Shireen Abu Akleh 

#ShireenAbuAkleh #Israel #BoycottIsrael #ApartheidIsrael #Palestine https://t.co/bqAa1wUb7e"
10,"No caption needed 💔
Here is #Palestine, here is the pain .. 💔😭

#IsraeliCrimes
#ShireenAbuAqla https://t.co/AtMd2ogVU7"
11,"❌REPEAT AFTER ME BOYCOTT ISRAEL❌

The US gov hands over $38 Billion US Tax Dollars to Zionist Israel your tax dollars hard at work killing innocent Palestinians 
like journalists Shireen Abu Akleh 

#ShireenAbuAkleh #Israel #BoycottIsrael #ApartheidIsrael #Palestine https://t.co/cn7bYvGn0r"
12,"We fixed it for you, @nytimes. Careful, your bias is showing.

Palestinian-American #ShireenAbuAkleh was killed by #Israeli occupying forces the same way hundreds of Palestinians are every year. We need justice for Shireen and every #Palestinian. 

#ShireenAbuAqla #IsraeliCrimes https://t.co/nOUSQXJ3DA"
13,"❌REPEAT AFTER ME BOYCOTT ISRAEL❌

The US gov hands over $38 Billion US Tax Dollars to Zionist Israel your tax dollars hard at work killing innocent Palestinians 
like journalists Shireen Abu Akleh 

#ShireenAbuAkleh #Israel #BoycottIsrael #ApartheidIsrael #Palestine https://t.co/Iw5kvyPNCN"
14,"HP (Hewlett Packard) provides &amp; operates technology that Israel uses to maintain its violent system of apartheid, occupation and settler colonialism over Palestinian people (including children)

#BoycottHP as part of the Boycott, Divestment, Sanctions (#BDS) movement https://t.co/l6biUgO33g"
15,"@swilkinsonbc Did #Holocaust give the full rights and impunities for the #ApartheidIsrael to manslaughter #Palestinians?

Why is Zionism free to kill any human beings &amp; perform any heidenous humanity crimes at will without accountability?

Why does the world allow Zionism at all then?"
16,"""We would never question the objectivity of a Ukranian--or an American--journalist killed in the same circumstances.""@dianabuttu @theIMEU #murderofShireenAbuAkleh #palestinianjournalist #falseclaims #israelicrimes #propagandamachine #FreePalestine
https://t.co/XN8En6VuyX"
17,@MiddleEastEye Systematic #IsraeliCrimes and #IsraeliApartheid  proven by their own. https://t.co/LN2JyjQM5P
18,"An entire nation in grief💔 Israeli occupation forces assassinated our beloved journalist Shireen Abu Akleh while covering their brutality in #Jenin this morning.
RIP our martyr🕊❤️
@IntlCrimCourt 
#IsraeliCrimes 
#shireen 
#ShireenAbuAqla 
#IsraeliApartheid 
#شيرين_ابو_عاقلة https://t.co/iD8PEQ1gPM"
19,@chewgnasher @CNN West Bank:She was well known for 20 years as a reporter. There's a photo circulating of her lying face down on the ground with her PRESS vest on. It sends out a message. Quite sickening:11 May: #ShireenAbuAkleh #IsraeliCrimes
20,Words. When will #EU states stop financing and arming #ApartheidIsrael? https://t.co/Wa7CkrIO36
21,@chewgnasher @CNN West Bank:She was well known for 20 years as a reporter. There's a photo circulating of her face down on the ground with her PRESS vest on. It sends out a message. Quite sickening:11 May: #ShireenAbuAkleh #IsraeliCrimes
22,Make no mistake: Israeli soldiers have purposefully murdered both peace activists and journalists before. They've done it multiple times--and then try to cover it up. And seldom is anyone held to account. #Israel #IsraeliCrimes #Palestine https://t.co/9MHc8jWuc8
23,@SusanSarandon Boycott Israel #BDS #FreePalestine
24,I was just walking through Damascus Gate and witnessed this senseless brutality and violence by the Israeli military police. Just another day living under occupation #FreePalestine #ApartheidIsrael https://t.co/hS0KMMLnCk
25,"You Mean.. The ASSASSINATION Of PALESTINIAN AMERICAN Journalist  #ShireenAbuAkleh.

We Don't Need A ""Investigation."" Our Government Needs To Hold Israel/IDF Accountable For Their #IsraeliCrimes.

Assassinating A Journalist Is A #WarCrime.

#FreePalestine🇵🇸
#Stand4AlQudas https://t.co/UERHtZdJwN"
26,"Israeli MK ltamar Ben-Gvir ladies and gentlemen, a moving talking colonizing pile of shit. A great example of the shitty Israeli ideology! #FreePalestine #IsraeliCrimes https://t.co/0ABNExfFrZ"
27,“I chose journalism to be close to people. It might not be easy to change the reality but at least I could bring their voice to the world. I am Shireen Abu Akleh”. That sign off will forever be iconic. Rest in power and peace Shireen. #Palestine #Shereen_Abu_Aqleh #IsraeliCrimes https://t.co/8xyh45EZkr
28,"We fixed it for you, @nytimes. Careful, your bias is showing.

Palestinian-American #ShireenAbuAkleh was killed by #Israeli occupying forces the same way hundreds of Palestinians are every year. We need justice for Shireen and every #Palestinian. 

#ShireenAbuAqla #IsraeliCrimes https://t.co/nOUSQXJ3DA"
