,tweet
47,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
48,"2 years since Eyad Al-Hallaq was murdered by a 20 year old Israeli police officer, who has never faced any repercussions for the cold-blooded killing of a terrified young man who was on his way to special needs school. #EndIsraeliApartheid https://t.co/zH67CxfIb8"
49,"Watched 
""The Occupation Of The American Mind"", AGAIN,
&amp; it's STILL POWERFUL, hopefully, the wheel of TRUTH is finally turning, thanks to #SM &amp; #BravePalestine citizen journalists, &amp; young Americans are finally seeing the reality of #IsraeliOccupation #BDS
https://t.co/mXB75VsR79 https://t.co/kZfTnsXCTC"
50,"2 years since Eyad Al-Hallaq was murdered by a 20 year old Israeli police officer, who has never faced any repercussions for the cold-blooded killing of a terrified young man who was on his way to special needs school. #EndIsraeliApartheid https://t.co/zH67CxfIb8"
51,"Are you aware the the organisation you have ""teamed up"" with is headed by an Israeli career spy &amp; a CEO/CFO of a weapons manufacturer, who make drones used to spy on,  &amp; attack Palestinians.... Great ""teammates"" you have there, Tony! 
No normalisation with #ApartheidIsrael 
#BDS https://t.co/zanjIaokzZ https://t.co/rtcsM0i01J"
52,"@QuidRises @Synyster63 @giddy_bunny @VinceGottalotta @MJB24681 @SuP3rK @EdBlackEsq @Flattielover @Bigteethyouhave @newsjunky2 @chriscr66024638 @alshadowdancer @RushvilleRockit @MiddleMolly @TomDoubting @mmEyeNewMe @Vickie627 @SoCalValleyGal @LadyOfTheOcean1 @Silver_Strike @FreeAsFuck45 @PalusoSonny @NanetteDonnelly @Sembrouthes @TommyJD5150 @jerbear714 @GrahamC37637916 @ShellyRKirchoff @GeorgeJ28520092 @KsLiberal @PridgeWessea @FactsAreBiased @jdd2169 @gopisdirty @Saggit95 @NathanBronson7 @PeterBartholo14 @PhilipEMSkinne1 @Frdmlvr3691 @ShotgunWitch @skeeduu @akuscg @victoria_roark @NatForTrump2024 @SpongebobBirth @Jetson77 @Kittie_Svengali @sd_usn @JoeBro20802650 Nope you're 
Red 💩 thru
and Thru. 
@Silver_Strike #ApartheidIsrael 
#GenocideGaza
#PalestineWillBeFree
https://t.co/Ed56CpNKzY"
53,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
54,"Keith is an apartheid denier. He supports Zionism 'without qualification' and will always put the interests of the rogue state of #ApartheidIsrael above those of anyone else, including Palestinians and the British people. Don't be like Keith. https://t.co/errc7UgCyK"
55,@JohnLyndon_ @ALLMEP “peacebuilding” is not holding your conference in an occupied #Jerusalem from which most #Palestinians are banned by @Israel solely for not being Jews. What you are participating is #apartheid-washing and normalization. The only solution with an apartheid country is #BDS.
56,"2 years since Eyad Al-Hallaq was murdered by a 20 year old Israeli police officer, who has never faced any repercussions for the cold-blooded killing of a terrified young man who was on his way to special needs school. #EndIsraeliApartheid https://t.co/zH67CxfIb8"
57,"2 years since Eyad Al-Hallaq was murdered by a 20 year old Israeli police officer, who has never faced any repercussions for the cold-blooded killing of a terrified young man who was on his way to special needs school. #EndIsraeliApartheid https://t.co/zH67CxfIb8"
58,"@gomiriam63 Genital mutilation is abhorrent - with the exception of this ritual, which is fine. I am NOT an #antisemite - ergo, whatever, look the other way, say nuttin’. Same as #WarCrimes #racism #ApartheidIsrael #CrimesAgainstHumanity #JournalismIsNotACrime #terrorism #EthnicCleansing etc"
59,A completely unprovoked attack on #SaveSheikhJarrah yesterday by the scum that is the youth of #ApartheidIsrael. If this is the future of #Israeli society then those who claim they want to find a just peace should really worry. What kind of upbringing have these #terrorists had? https://t.co/a7gX9pPtej
60,"The Israeli occupation forces released the #Palestinian boy Harbi Al-Rajabi on the condition of being placed under home arrest for 4 days.

#FreePalestine #IsraeliCrimes https://t.co/JgzmpdYI9m"
61,@AJEnglish Total lack of Morality on UEA &amp; Israel.#BDS🇵🇸🇵🇸🇵🇸✌️✌️✌️
62,"2 years since Eyad Al-Hallaq was murdered by a 20 year old Israeli police officer, who has never faced any repercussions for the cold-blooded killing of a terrified young man who was on his way to special needs school. #EndIsraeliApartheid https://t.co/zH67CxfIb8"
63,"#BDS Pressure Works!

@HP-branded companies end major contracts with apartheid Israel, including Aviv System for population database.

Let's escalate our campaign to end @HPE's remaining contract with Israeli police and prison services.

https://t.co/FzotdS5va9 https://t.co/zQGKACjKCV"
64,"Suriname (former NL colony) can't get rid of obediently appeasing settler-colonial regimes like #ApartheidIsrael, who commit #warcrimes &amp; #humanrights violations. Hasn't learned from #Decembermoorden past, that it's not okay to befriend regimes murdering journalists?
Cc @intifada https://t.co/cM1TUvxK4r"
65,"2 years since Eyad Al-Hallaq was murdered by a 20 year old Israeli police officer, who has never faced any repercussions for the cold-blooded killing of a terrified young man who was on his way to special needs school. #EndIsraeliApartheid https://t.co/zH67CxfIb8"
66,Endemic racism in Israeli government. (This is probably racist just calling it out!) How do we end it if a 2-state solution is still what they want? One answer is #BDS and 1 state where ALL are equal! https://t.co/WLvF0Ub50H
67,"@SaintMarysDerry @mariemccolgan @StCeciliasDerr2 Are you aware the the organisation you have ""teamed up"" with is headed by an Israeli career spy &amp; a CEO/CFO of a weapons manufacturer, who make drones used to attack &amp; spy on Palestinians.
Great ""teammates"" you have there, St.Marys! 
No normalisation with #ApartheidIsrael 
#BDS https://t.co/AZVOoLDbtA"
68,"2 years since Eyad Al-Hallaq was murdered by a 20 year old Israeli police officer, who has never faced any repercussions for the cold-blooded killing of a terrified young man who was on his way to special needs school. #EndIsraeliApartheid https://t.co/zH67CxfIb8"
69,"Hundreds of zionist settlers organized a provocative march in al-Khalil city, southern the occupied West Bank. #FreePalestine #IsraeliTerrorism #PalestineWillBeFree https://t.co/O0LtOFHsHd"
70,"Zionist settlers attacked the Urif Secondary School in the south of Nablus, besieged the teachers inside, and launched gas canisters. #FreePalestine #IsraeliTerrorism https://t.co/qV6M8XEhrO"
71,"Israeli occupation authorities postponed the court of Jerusalemite Mousa Ibrahim until July 6, 2022.
#FreePalestine #freedom #IsraeliCrimes https://t.co/n17ay4zVum"
72,"Israeli occupation authorities postponed the court of Jerusalemite prisoner Mohammad Maher, from Al-Tur town, until July 12.
#free #IsraeliCrimes https://t.co/1DcG5VN9mE"
73,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
74,"Israeli occupation forces detained Jerusalemite Omer Al-Rasheq, the brother of prisoner Rasheed Al-Rasheq. It's reported that he was released weeks ago after serving 5 months inside Israeli prisons.
#FreePalestine #free #IsraeliCrimes https://t.co/JsEUPuwTGe"
75,"Zionism is racism. Israel, stop lying to United States about your real intentions in Palestine. #BDS https://t.co/eSCvB66AAm"
76,"Israeli occupation authorities moved young Jerusalemite man Imad Yaser into  administrative detention for 6 months.
#free #IsraeliCrimes https://t.co/5fQ7Q1LnEA"
77,"IOF detained young Jerusalemite man Yazan Al-Kharoof from Al-Azariya town in occupied Jerusalem, at dawn today.
#FreePalestine #free #IsraeliCrimes https://t.co/qJGxeaAMzs"
78,#satanic #ZIONAZI apartheid occupation #BDS https://t.co/Drr156B8Fu https://t.co/vS5nZWFyu8
79,"Extremist #Israeli settlers stormed and performed Talmudic rituals in the courtyards of Al-Aqsa Mosque backed by Israeli occupation forces,  today morning.

Zionist 
#ApartheidIsrael https://t.co/gz2ksr05QS"
80,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
81,"Extremist #Israeli settlers stormed and performed Talmudic rituals in the courtyards of Al-Aqsa Mosque backed by Israeli occupation forces,  today morning.

Zionist 
#ApartheidIsrael https://t.co/gz2ksr05QS"
82,"State sanctioned terrorism.
#IsraeliTerrorism 
#IsraeliCrimes https://t.co/Z5IPuhXvjs"
83,"This is the #peace message from #ApartheidIsrael to it's newest allies
#UAE and #KSA https://t.co/IijHOh2311"
84,@alirazahoon @NadraPak @GovtofPakistan @anilaali seems to be a #USA citizen. Another self appointed 'interfaith' leader🤣 #ApartheidIsrael is a #Zionist colonial settler project and it's despicable to conflate opposition to #Israel as an issue of #Antisemitism let alone antipathy towards #judaism!
85,"#Pakistan's clash with #Israel is based upon:
- Aqsa Mosque/Al Quds
- Palestinian nation
- Ideological conflict: #Islam vs #Zionism

These three don't seem to get resolved &amp; Pakistanis aren't going to compromise.

#IsraeliCrimes #PakistanUnderFascism #اسرائیلی_ایجنٹ_نامنظور"
86,"'Israel' is afraid of funerals. Why?
#ApartheidIsrael https://t.co/L8ZPJ5brbo"
87,"@AlanFarrell Why does the Dublin government, along with every other @EUinIsrael state, continue to fully support this barbaric apartheid regime? It’s starts with you. #BDS same as South Africa when it was a racist lead apartheid country."
88,"'Israel' is afraid of funerals. Why?

#ApartheidIsrael 
Zionist https://t.co/trkoN1ay2Y"
89,@dublinactivist @aneesafalasteen @bano_sanjeeda @swilkinsonbc @aharring @DocMartinDub @ChristineJameis @jimfitzpatrick @phylmurphy @Ruthanasia .@saintmarys @StCeciliasDerry @StJohnsPSDerry where visited as part of this #ApartheidIsrael normalisation programme. I wonder what the parents of pupils would think?
90,"#BDS? What BDS? Israel signs a free trade agreement with the UAE, its first big trade accord with an Arab state and a move aimed at boosting trade between the two Middle East nations. https://t.co/c8pn7o6s2m"
91,@LGBTSRH @willshome @wossy @billybragg @Jane66588568 @void_if_removed @simonmaginn @Desuetudine @cocteau8 @HavetStorm @DerbyChrisW @IndiaWilloughby They are all wrong. This is a ridiculous thread. What both sides are doing is inflaming more tensions and yet they have all accused the likes of @DerbyChrisW of antisemitism which was the first thing to be weaponised and still is. The only Nazis I see are in #ApartheidIsrael
92,"This is the #peace message from #ApartheidIsrael to it's newest allies
#UAE and #KSA https://t.co/IijHOh2311"
93,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
94,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
95,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
96,"@BgoerckeRobert When it looks like apartheid and acts like apartheid, it is apartheid.
#ApartheidIsrael https://t.co/lx0Sx2sC45"
97,"The occupation forces confiscated the Palestinian flag after Palestinian youths raised it yesterday over the apartheid wall in the city of Abu Dis, east of occupied Jerusalem.

#PalestineFlagDay
#EndIsraeliApartheid
#SahabatPalestina_ID https://t.co/I7wHOObfyZ"
98,"@FAApartheid @not3bad @ShahdAbusalama @IlhanMN @swilkinsonbc @Th2shay @rk70534 @zarahsultana @Doire @Kh9syl Donated J, great idea. 👏👏
(it only allows sharing on Facebook, not like others that give you options like Twitter, etc 🤔) 
#BDS"
99,"UAE-Israel economic partnership, Morocco-Israel MOUs, Egypt-Israel trade to reach $700m, Saudi-Israel business ties...think about how many millions were wasted funding #BDS, rather than Israeli-Palestinian cooperation...and about the idiots who still cling to BDS as a solution..."
100,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
101,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
102,"@blakeflayton Covering up the reputation and image of a blood soaked apartheid state with a rainbow flag really isn’t a great look yall ✌️ 

#boycottisrael 
#BDS"
103,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
104,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
105,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
106,"@jvplive @SariadeG This cannot be empasized enough, only pressure from outside will change the vile #Apartheid Zionist State.
#BDS 
#PalestinianLivesMatter 
#ICC4Israel 
https://t.co/etSogAPNBL"
107,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
108,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
109,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
110,"Look at injustice and the racism and double standards pursued by the #Israel occupation forces.Dozens of Jewish settlers attack one #Palestinian child. In return,the Palestinian child is arrested.#IsraeliCrimes #IsraeliApartheid #القدس #لن_تمر_مسيرة_الاعلام #فلسطين #المسجد_الأقصى https://t.co/6uFD83LUav"
111,"I wanna kiss you, make you feel alright
I'm just so tired to share my nights
I wanna cry and I wanna love
But all my tears have been used up.

Another Love.
#ImranKhan #PakistanUnderFascism 
#IsraeliTerrorism #ChampionsLeagueFinal"
112,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
113,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
114,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
115,"Impact of #Israeli strike in #Gaza akin to #chemicalweapons, NGO report finds | #Israel | The Guardian https://t.co/J0Xgnk7fbG #GazaUnderAttack #GazaUnderSiege #BreakGazaSiege #EndIsraeliApartheid #FreeThemAll #FreePalestine 🇵🇸 #Palestine #BoycottIsrael #BDS #CNN #BBC #FoxNews"
116,"Report it, #Goebbels. #Fascism #FreeAssange  @BBCNewsnight @BBCPolitics @BBCr4today @Channel4News @BBCNews #ToryScumOut #bbcaq #CorbynWasRight #CorbynWasPoliticallyAssassinatedByTheBBC #ItWasAScam #ApartheidIsrael #FordeReport #LabourLeaks #StarmerOut #ClassWar #Palestine https://t.co/jBywmpcs70"
117,"@InnaVernikov And yet the USA supports both Bolansario in Brazil and Orban of Hungary. Both rabid, openly AS, who also support Isreal #BDS"
118,"@rosiescammell #Watch | Settlers direct insults and provocations to the Palestine TV crew and disrupt their coverage in the Bab Al-Amoud area in occupied Jerusalem.
#FreePalestine 🇵🇸
#BoycottIsrael 🚫
#EndIsraeliApartheid https://t.co/71LrCh1whm"
119,"'Israel' is afraid of funerals. Why?
#ApartheidIsrael https://t.co/L8ZPJ5brbo"
120,"@tombateman #Watch | Settlers direct insults and provocations to the Palestine TV crew and disrupt their coverage in the Bab Al-Amoud area in occupied Jerusalem.
#FreePalestine 🇵🇸
#BoycottIsrael 🚫
#EndIsraeliApartheid https://t.co/ArhfApuNJI"
121,Boycott for injustice #BDS https://t.co/X4CNSTHKGW
122,Boycott for injustice #BDS https://t.co/X4CNSTHKGW
123,Remember when they claimed that #BDS was non-violent?   https://t.co/JOdtsjfYBn
124,"""Death to Arabs""
""May your village burn""
""Shuafat is on fire""
""Mohammed is dead""
""Shireen is a whore""
A small selection of the racist and violent chants heard in #Jerusalem during the provocative Flag March.

#ApartheidIsrael 
Zionist https://t.co/PdOBTE80md"
125,"Report it, #Goebbels. #PlatinumJubilee #FreeAssange  @BBCNewsnight @BBCPolitics @BBCr4today @Channel4News @BBCNews #ToryScumOut #bbcaq #CorbynWasRight #CorbynWasPoliticallyAssassinatedByTheBBC #ItWasAScam #ApartheidIsrael #FordeReport #LabourLeaks #StarmerOut #ClassWar #Palestine https://t.co/j1LFqmyhu7"
126,"Cartoon | What are the chances of President Joe Biden and the The White House investigating the brutal murder of #Palestinian journalist Shireen Abu Akleh?

Zionist 
#ApartheidIsrael

Art by Carlos Latuff| @mondoweiss https://t.co/KyJc78cGfl"
127,"#BDS Pressure Works!

@HP-branded companies end major contracts with apartheid Israel, including Aviv System for population database.

Let's escalate our campaign to end @HPE's remaining contract with Israeli police and prison services.

https://t.co/FzotdS5va9 https://t.co/zQGKACjKCV"
128,"'Israel' is afraid of funerals. Why?
#ApartheidIsrael https://t.co/L8ZPJ5brbo"
129,"'Israel' is afraid of funerals. Why?

#ApartheidIsrael 
Zionist https://t.co/trkoN1ay2Y"
130,#DefundIsrael #FreePalestine #BDS No wonder Ukrainian Nazis wanna be like Israel... https://t.co/dX38wAZKv5
131,"'Israel' is afraid of funerals. Why?

#ApartheidIsrael 
Zionist https://t.co/trkoN1ay2Y"
132,"Amazing #documentary about #Vespasian that addresses the war in #Judea in the last part.

That must be the only inaccurate part because the #Palestinians aren't mentioned at all, so that must be wrong. 😏

#Israel #BDS #History #Palestine #Rome 

https://t.co/0VNWPT09ko"
133,"'Israel' is afraid of funerals. Why?
#ApartheidIsrael https://t.co/L8ZPJ5brbo"
134,"Colonial #Israeli settlers attack Al-Nabi Yunis Mosque in Halhul backed by Israeli occupation forces and remove Palestinian flags from it.

#ApartheidIsrael 
Zionist https://t.co/y95bArSVdt"
135,"@rosiescammell This was not the first attack on journalists by the Israeli occupation forces, and it was not the last, of course. This criminal occupation has killed many journalists, the last of whom was Shireen Abu Aqleh.
#FreePalestine 
#EndIsraeliApartheid 
#BoycottIsrael https://t.co/9AzkqHB8fo"
136,"@BgoerckeRobert When it looks like apartheid and acts like apartheid, it is apartheid.
#ApartheidIsrael https://t.co/lx0Sx2sC45"
137,"Israeli settlers protected by the occupation forces attack a school in Oreef village, south of Nablus.
#FreePalestine 
#IsraeliTerrorism https://t.co/DdQRfmzMia"
138,"'Israel' is afraid of funerals. Why?
#ApartheidIsrael https://t.co/L8ZPJ5brbo"
139,"'Israel' is afraid of funerals. Why?

#ApartheidIsrael 
Zionist https://t.co/trkoN1ay2Y"
