,tweet
0,"What a joke…talk about twisting history
Death by a thousand cuts..which is exactly what Israel is doing to the Palestinians…
is still death…call it ethnic cleansing, genocide, apartheid…Israel is as guilty as it gets
#FreePalestine
#ICC4Israel #BDS https://t.co/XRhRqk5PuG"
1,A completely unprovoked attack on #SaveSheikhJarrah yesterday by the scum that is the youth of #ApartheidIsrael. If this is the future of #Israeli society then those who claim they want to find a just peace should really worry. What kind of upbringing have these #terrorists had? https://t.co/a7gX9pPtej
2,"#BDS Pressure Works!

@HP-branded companies end major contracts with apartheid Israel, including Aviv System for population database.

Let's escalate our campaign to end @HPE's remaining contract with Israeli police and prison services.

https://t.co/FzotdS5va9 https://t.co/zQGKACjKCV"
3,"@mishtal Amnesty International is not mistaken, Amnesty's decision was based on the crimes that this criminal occupation has committed and continues to commit, so stop supporting these crimes.
#FreePalestine 🇵🇸🇵🇸
#BoycottIsrael 🚫"
4,"2 years since Eyad Al-Hallaq was murdered by a 20 year old Israeli police officer, who has never faced any repercussions for the cold-blooded killing of a terrified young man who was on his way to special needs school. #EndIsraeliApartheid https://t.co/zH67CxfIb8"
5,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
6,"No wine from stolen land! 

Tell @Wine_com, the world’s largest wine retailer, to stop contributing to violations of Palestinian rights. Stop selling wines produced in illegal Israeli settlements! #BDS https://t.co/YOqkWdGuhT"
7,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
8,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
9,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
10,"While palestinian students returned to their homes, Israeli occupation forces were chasing them, firing rubber bullets and sound bombs at them, and confiscating thiers bags in an al-Amud neighbourhood in occupied Jerusalem.
#FreePalestine
#EndIsraeliApartheid https://t.co/3oMZB2BAQX"
11,"@SaintMarysDerry @mariemccolgan @StCeciliasDerr2 Are you aware the the organisation you have ""teamed up"" with is headed by an Israeli career spy &amp; a CEO/CFO of a weapons manufacturer, who make drones used to attack &amp; spy on Palestinians.
Great ""teammates"" you have there, St.Marys! 
No normalisation with #ApartheidIsrael 
#BDS https://t.co/AZVOoLDbtA"
12,"Just going through the newsletter on this. An absolute eye opener. Will be posting throughout the day.
#ApartheidIsrael #illegal #israelioccupation #IsraeliCrimes https://t.co/kdilUnGJ6X"
13,Can the ‘status-quo’ of Jerusalem’s Old City be preserved? #BDS #Israel https://t.co/BMRzrz6ufX
14,"@EUpalestinians We are tired of these useless convictions. We did not see any serious steps.
We want serious steps towards these heinous crimes.
#FreePalestine 🇵🇸
#BoycottIsrael 🚫
#EndIsraeliApartheid"
15,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
16,"Israel should demolish apartheid, not Palestinian homes. 
Call on PM @naftalibennett to stop forced evictions and home demolitions against Palestinians. #EndIsraeliApartheid TAKE ACTION &gt;&gt; https://t.co/rsRyf6Anfw"
17,"Extremist #Israeli settlers stormed and performed Talmudic rituals in the courtyards of Al-Aqsa Mosque backed by Israeli occupation forces,  today morning.

Zionist 
#ApartheidIsrael https://t.co/gz2ksr05QS"
18,"Colonial Israeli Settlers storm the Nabi Younis Mosque, in Halhul in Hebron, and tried to take down the palestinian flag under the protection of Israeli occupation forces.
#EndIsraeliApartheid 
#FreePalestine https://t.co/cmHfDEQbw2"
19,"2 years since Eyad Al-Hallaq was murdered by a 20 year old Israeli police officer, who has never faced any repercussions for the cold-blooded killing of a terrified young man who was on his way to special needs school. #EndIsraeliApartheid https://t.co/zH67CxfIb8"
20,"@SKFinston @KesBilly @yes_we_cat @whywouldyou_uk @RikkAngel @WeinsteinDr @samikhalifeh100 @JonathanWeissb3 @garybkatz @reallhere @PattataM @emmettimanu @corjoy @BgoerckeRobert @asegovia9 @gomiriam63 @Tax_Dodge_Hodge @cool_grandad @markovfaneghi1 @IMDibe @vannifrediani @robinsonmsr10 @japNakFikir @daggerhaft @DavidPick33 @6TK9Cn1RB4A49B1 @miss_gran_dia @MechanicznaC @IILeahll @MehrMiriam @Desuetudine @MrSamArrow @ScottAlan107 @moderatedew @WeBuyBritish @ashvir2012 @Carl0s_Vela @Rudolf__Dassler @Buckeye_ricky @searchfeast @FLastrade @sadcjp @TheElementGuy @RyuGwansunSTAN @AnastasiaKLynch @Brushsmoke @Mosaic1948 @fr33palest1ne @Maccabi226km @EdwardRose5 This is a very interesting video , the true origins of the failed #BDS - 
https://t.co/aroxXpHPXB"
21,"'Israel' is afraid of funerals. Why?

#ApartheidIsrael 
Zionist https://t.co/trkoN1ay2Y"
22,"Israel murdered 5 Palestinian kids only in one month.
#ChildKillers 🇮🇱
#IsraeliTerrorism 🇮🇱
#FreePalestine 🇵🇸 https://t.co/LNqbB6yTuL"
23,"🇵🇸 FREE PALESTINE 🇵🇸
#IsraeliTerrorism
#SavePalestine 
#IsraeliAttackonAlAqsa
#BravePalestine
#FreePalestine
#المسجد_الاقصي
☠️👇👇☠️
We are against Israel☠️terrorism 
Not against this→ ✡️✝️☪️ ❤ https://t.co/X2PCeGUCyg"
24,"'Israel' is afraid of funerals. Why?

#ApartheidIsrael 
Zionist https://t.co/trkoN1ay2Y"
25,"Extremist #Israeli settlers stormed and performed Talmudic rituals in the courtyards of Al-Aqsa Mosque backed by Israeli occupation forces,  today morning.

Zionist 
#ApartheidIsrael https://t.co/gz2ksr05QS"
26,"Israeli occupation forces released the Palestinian activist, Muntaha Amara, after detaining her yesterday from the Al-Aqsa Mosque. #FreePalestine #IsraeliTerrorism https://t.co/rSiTigKf2O"
27,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
28,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
29,"UAE-Israel economic partnership, Morocco-Israel MOUs, Egypt-Israel trade to reach $700m, Saudi-Israel business ties...think about how many millions were wasted funding #BDS, rather than Israeli-Palestinian cooperation...and about the idiots who still cling to BDS as a solution..."
30,"Of course settlers are allowed to rampage through the streets of Jerusalem attacking Palestinians. The State of Israel uses settler violence as a tool to subjugate Palestinians and drive us off our land, off our streets, out of our homes. #SettlerViolence #ApartheidIsrael https://t.co/6B6tCh76uv"
31,"What a SHAME!
This’s a kind of shameful behaviors done by some terrorist!
#IsraeliTerrorists 
#IsraeliCrimes 
#مسيرة_الاعلام_لن_تمر 
#فلسطين_قضية_الشرفاء https://t.co/iQ7S8LnoZO"
32,@RozRothstein Clearly they have no morals whatsoever #BDS
33,"GOOD…
#FreePalestine
#ICC4Israel #BDS https://t.co/Pv8WIZvehd"
34,"Oof! Do check out the photos below. They do an excellent job of conveying the headache @Pal_action are giving Elbit.
#ShutElbitDown 
#FreePalestine 
#EndIsraeliApartheid https://t.co/NPLzjbyttK"
35,"@RepShontelBrown Every day a new case is appearing, genocide because of Israeli occupation in Alnaqb, sheikh jarah, silwan, lifta, and more, attacks on Gaza, attacks in Alaqsa, killing children and youth brutally, arresting, hunger strike, etc.

Do you support apartheid?

#EndIsraeliApartheid 🗣️ https://t.co/gRQJpaNFqR"
36,"@RepShontelBrown Shame on you 

Palestine will be liberated at last and you will go to the abyss of history.

 #EndIsraeliApartheid"
37,"@RepShontelBrown Palestinians live under extreme apartheid by Israeli occupation, and anyone who tries to argue this fact is considered a complicit in the sad events taking place in Palestine.

#EndIsraeliApartheid 🗣️ https://t.co/hoy7yYEtXR"
38,"Report it, #Goebbels. Hateful #BBCBias #FreeAssange  @BBCNewsnight @BBCPolitics @BBCr4today @Channel4News @BBCNews #ToryScumOut #bbcaq #CorbynWasRight #CorbynWasPoliticallyAssassinatedByTheBBC #ItWasAScam #ApartheidIsrael #FordeReport #LabourLeaks #StarmerOut #ClassWar #Palestine https://t.co/wnOEbaOW0Z"
39,"Israeli troops break into, terrorise &amp; raid family homes in several towns across Palestine, hauling eight Palestinian citizens into custody #BDS https://t.co/ULBtDdso13"
40,"'Israel' is afraid of funerals. Why?

#ApartheidIsrael 
Zionist https://t.co/trkoN1ay2Y"
41,@swilkinsonbc Iraq's got it right. It's time the Arab nations banded together to condemn the rogue state of #ApartheidIsrael and those who support it 'without qualification'.
42,"@SaintMarysDerry @mariemccolgan @StCeciliasDerr2 Are you aware the the organisation you have ""teamed up"" with is headed by an Israeli career spy &amp; a CEO/CFO of a weapons manufacturer, who make drones used to attack &amp; spy on Palestinians.
Great ""teammates"" you have there, St.Marys! 
No normalisation with #ApartheidIsrael 
#BDS https://t.co/AZVOoLDbtA"
43,"2 years since Eyad Al-Hallaq was murdered by a 20 year old Israeli police officer, who has never faced any repercussions for the cold-blooded killing of a terrified young man who was on his way to special needs school. #EndIsraeliApartheid https://t.co/zH67CxfIb8"
44,"Palestinians closed the internal gates of Al-aqsa mosque to prevent zionist thugs from storming it.#indiastandswithpalestine 
#indiastandswithpalestine 
#indiastandswithpalestine 
#indiastandswithpalestine 
#BoycottIsrael 
#WakeUpMuslimUmmah https://t.co/RLrAvMXkQP"
45,"2 years since Eyad Al-Hallaq was murdered by a 20 year old Israeli police officer, who has never faced any repercussions for the cold-blooded killing of a terrified young man who was on his way to special needs school. #EndIsraeliApartheid https://t.co/zH67CxfIb8"
46,"Extremist #Israeli settlers stormed and performed Talmudic rituals in the courtyards of Al-Aqsa Mosque backed by Israeli occupation forces,  today morning.

Zionist 
#ApartheidIsrael https://t.co/gz2ksr05QS"
