,tweet
0,"RT @abierkhatib: Israeli police : 

“no disciplinary action will be taken against police officers and fighters who took part in the funeral…"
1,RT @JohnHughes127: The West’s blanket boycotts &amp; sanctions against Russia while continuing its complicity in Israel’s apartheid against Pal…
2,"RT @100_alpha: What is wrong with the World, everything is upside down! #Russia was banned from #Eurovision2022 but not #Israel who has bee…"
3,"APARTHEID ISRAEL MUST GO
#Nakba74 
#شيرين_أبو_عاقلة 
#ApartheidIsrael 
Puppet of #Ukraine 
 #CIA/#ISIS/#NATO  #Zelenskyy 
#Palestine 
 #فلسطین #ایران #یمن #لبنان #سوریه #عراق 
 #Iran #Russia #Syria #Gaza https://t.co/OuwfdlBbB4"
4,Russia being banned from #Eurovision for war crimes while Israel committed at least 3 war crimes on Eurovision day alone. Think about that #FreePalaestine #GazaUnderAttack #silwan #Russian #IsraeliCrimes #ShireenAbuAqla
5,RT @BDSmovement: The West’s blanket boycotts and sanctions against Russia while continuing its complicity in Israel’s apartheid and settler…
6,Rabid Satanic #thugsInUniforms attacking the funeral processions | #freePalestine #Nakba74 #BDS https://t.co/sIJ2YYHbgu
7,"APARTHEID ISRAEL MUST GO
#Nakba74 
#شيرين_أبو_عاقلة 
#ApartheidIsrael 
Puppet of #Ukraine 
 #CIA/#ISIS/#NATO  #Zelenskyy 
#Palestine 
 #فلسطین #ایران #یمن #لبنان #سوریه #عراق 
 #Iran #Russia #Syria #Gaza https://t.co/jP2w9fKbrK"
8,What would the Western democracies say/do had for example a white journalist been murdered in Ukraine by a Russian soldier?  End #IsraeliApartheid #IsraeliCrimes #IsraeliOccupation #FreePalaestine
9,"@FekaduYigezu @AJCGlobal Stop #ApartheidIsrael and US Australian,Canadian and other war criminals supporting their annexation,invasion and murderous brutality in Palestine while making noises about US-sponsored Ukrainian neo-Nazis securing their Biden-linked biochemical labs and brutalisation in Donbass https://t.co/vqqEbEYKhg"
10,"RT @PalestinePDP: Yet, 74 years later, the international community neglects its legal and moral responsibilities towards the #Palestinian p…"
11,"All this talk of its show of positive humanity through #Ukraine winning #Eurovision2022 . It's rather a show of double standards as no country makes a stand against Israel competing with their apartheid-system, ethnic cleansing, occupation and war crimes.
#BDS  #freepalestine"
12,"@michaeldickson ""Reborn"" my ass ...
If you are so into '48, why don't you agitate, that Israel is ONLY what it was at that time?
Israel steals and calls other part for thief - disgusting!
#IsraeliOccupation #IsraeliWarCrimes"
13,"RT @JerryHicksUnite: Wow! 
Yesterday's huge rally in #Copenhagen, Denmark to mark 74th anniversary of Palestinian #Nakba &amp; to honor Palesti…"
