,tweet
0,@johnmcdonnellMP @ChristineJameis No John you got it wrong...according to @BBCNews @BBCNewsnight it was scuffles...scuffles ....honestly the #bbcnews #r4today is a f###ing joke...#IsraeliCrimes #IsraeliApartheid  #skynews
1,"Anti-Zionist Jews marching in the streets of Brooklyn - New York City, in solidarity with the Palestinian people, to protest 74 years of Israeli occupation and apartheid. #Nakba74 #BDS
https://t.co/8acuk0MKe4"
2,"@Aleeas15 @einheitskanzler @bassem__saad @karmaonesixone I'm not disagreeing with you man, I'm just saying Nazis are opportunists. I'm Irish and we are firmly anti-Zionist and on the side of Palestine here. #BDS"
3,@Israelkicksass @AdinHaykin1 @LehiRed @DanielBFreeman7 All the good will towards Israel has evaporated. #BDS
4,British PM Balfour - conservative party - confirming set up of #ApartheidIsrael with Lord Rothschild who had requested it be done https://t.co/t0SjhvQXyM
5,"Across the world, #Israel &amp; allies are cracking down on attempts to hold it to account for its war crimes. In the UK, the government is now seeking to ban #BDS. We will fight this, but we need you to join us. 

Become a member of PSC today👉 https://t.co/NXhe43qgfh #FreePalestine https://t.co/W1o8uwEth4"
6,"“Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZPeU1q"
7,"#BDS Pressure Works!

@HP-branded companies end major contracts with apartheid Israel, including Aviv System for population database.

Let's escalate our campaign to end @HPE's remaining contract with Israeli police and prison services.

https://t.co/FzotdS5va9 https://t.co/jSywAo1ln9"
8,"This is Israel's barbaric apartheid regime which violated over 40 UN Security Council resolutions and made a mockery of the international rules-based order. Yet, the West still has the audacity to promote it as the ""only democracy in the region."" SHAMEFUL!

#EndIsraeliApartheid https://t.co/C2k7ezJS0k"
9,"“Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZPeU1q"
10,@JorckyYesYes @einheitskanzler @bassem__saad @karmaonesixone Existence of #ApartheidIsrael shouldn't at all be at the expense of Palestinians rights! If they want to exist it should give equal rights to all whom living under it's control. The current situation Zionists beach parties are thrown over the mass graves of Palestinians. #BDS
11,@johnmcdonnellMP @ChristineJameis No John you got it wrong...according to @BBCNews @BBCNewsnight it was scuffles...scuffles ....honestly the #bbcnews #r4today is a f###ing joke...#IsraeliCrimes #IsraeliApartheid  #skynews
12,"“Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZPeU1q"
13,"""You simply cannot be a liberal democracy if you operate apartheid over another people. It is a contradiction in terms because Israel’s entire society is complicit in this unjust reality.""

Former AG of Israel confirms apartheid.
#EndIsraeliApartheid
https://t.co/GqzM5K3Bgf"
14,"#BDS Pressure Works!

@HP-branded companies end major contracts with apartheid Israel, including Aviv System for population database.

Let's escalate our campaign to end @HPE's remaining contract with Israeli police and prison services.

https://t.co/FzotdS5va9 https://t.co/jSywAo1ln9"
15,"⭕️👆:
Shame on #Germany. 
The same 🇩🇪kissing the as*es of criminal Zionists &amp; arrest peaceful protesters exposing #ApartheidIsrael , plays the role of the hypocrite defender of human rights when members of terrorist org's protest w/o permission in the ME
https://t.co/47YHqd8Mp6"
16,May #ShireenAbuAkleh Rest In Peace and may #ApartheidIsrael rot in hell! 🇵🇸 #FreePalestine 🇵🇸 https://t.co/5BKpNksyRr
17,"Palestine will be free Inshallah. 
#FreePalestine #IsraeliCrimes
   #اسرائیل_نامنظور https://t.co/qr1Ag1ayRW"
18,"We can't accept Israel on any cost ..imported govr listen this too ..
Israel the most hateful and terrorist country
#IsraeliCrimes
#اسرائیل_نامنظور https://t.co/sEUpdRzkxO"
19,"“Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZPeU1q"
20,"Palestine will be free Inshallah. 
#FreePalestine #IsraeliCrimes
   #اسرائیل_نامنظور https://t.co/qr1Ag1ayRW"
21,"“Israel Is a Cancer That Must Be Annihilated.”
- Imam Khoemini 

#اسرائیل_نامنظور 
#ApartheidIsrael https://t.co/jfF3ZPeU1q"
